Device_Name,Start,End,Removed_Hours
设备57,2014-02-19 17:34:27,2014-03-05 16:34:27,336
设备58,2013-07-08 09:34:27,2013-08-15 06:34:27,910
设备59,2013-01-19 08:34:27,2013-02-05 17:34:27,418
设备59,2013-02-05 19:34:27,2013-04-06 14:34:27,1436
设备59,2013-04-06 16:34:27,2014-03-11 11:34:27,8132
设备60,2013-03-13 20:34:27,2013-03-30 15:34:27,404
设备60,2013-07-08 09:34:27,2013-08-15 11:34:27,915
设备60,2014-01-16 15:34:27,2014-02-15 17:34:27,723
设备61,2013-02-05 15:34:27,2013-02-26 14:34:27,504
设备61,2013-07-04 17:34:27,2013-08-15 16:34:27,1008
设备61,2013-09-25 11:34:27,2013-10-18 03:34:27,545
设备61,2013-12-29 06:34:27,2014-01-13 05:34:27,360
设备61,2014-01-16 15:34:27,2014-02-15 17:34:27,723
设备62,2013-01-19 14:34:27,2013-02-12 00:34:27,563
设备62,2013-02-13 02:34:27,2013-03-08 01:34:27,552
设备62,2013-03-09 02:34:27,2014-03-11 11:34:27,8818
设备63,2013-07-04 10:34:27,2013-08-15 13:34:27,1012
设备64,2013-07-04 10:34:27,2013-08-15 13:34:27,1012
设备65,2013-06-28 12:34:27,2013-08-20 08:34:27,1269
设备65,2013-12-24 09:34:27,2014-01-09 09:34:27,385
设备65,2014-01-24 13:34:27,2014-02-15 17:34:27,533
设备66,2013-01-16 12:34:27,2013-01-31 15:34:27,364
设备66,2013-06-28 12:34:27,2013-08-27 18:34:27,1447
设备66,2013-09-05 17:34:27,2013-09-28 16:34:27,552
设备66,2013-12-24 10:34:27,2014-01-09 10:34:27,385
设备66,2014-01-24 13:34:27,2014-02-15 17:34:27,533
设备67,2013-07-08 09:34:27,2013-08-15 14:34:27,918
设备67,2014-01-24 12:34:27,2014-02-13 09:34:27,478
设备68,2013-01-10 08:34:27,2013-02-05 13:34:27,630
设备68,2013-02-05 15:34:27,2013-03-29 19:34:27,1253
设备68,2013-03-31 20:34:27,2013-04-24 12:34:27,569
设备68,2013-05-13 12:34:27,2013-06-06 15:34:27,580
设备68,2013-06-06 17:34:27,2013-06-24 13:34:27,429
设备68,2013-06-26 09:34:27,2013-08-28 20:34:27,1524
设备68,2013-08-28 22:34:27,2013-10-18 02:34:27,1205
设备68,2013-12-08 10:34:27,2014-01-13 13:34:27,868
设备68,2014-01-24 12:34:27,2014-02-15 17:34:27,534
设备68,2014-02-15 19:34:27,2014-03-05 21:34:27,435
设备69,2013-07-06 12:34:27,2013-08-20 07:34:27,1076
设备70,2013-07-06 11:34:27,2013-08-15 07:34:27,957
设备71,2013-07-08 09:34:27,2013-08-15 09:34:27,913
设备71,2014-01-23 11:34:27,2014-02-07 07:34:27,357
设备72,2013-07-08 09:34:27,2013-08-15 09:34:27,913
设备72,2014-01-23 11:34:27,2014-02-07 07:34:27,357
设备73,2013-07-05 10:34:27,2013-08-15 09:34:27,984
设备73,2014-01-23 10:34:27,2014-02-07 08:34:27,359
设备74,2013-07-05 10:34:27,2013-08-15 09:34:27,984
设备74,2014-01-23 10:34:27,2014-02-07 08:34:27,359
设备75,2013-06-09 15:34:27,2013-06-29 10:34:27,476
设备75,2013-07-05 12:34:27,2013-08-15 09:34:27,982
设备75,2013-09-20 20:34:27,2013-10-09 07:34:27,444
设备75,2014-01-16 10:34:27,2014-02-10 09:34:27,600
设备76,2013-06-13 09:34:27,2013-07-01 08:34:27,432
设备76,2013-07-05 12:34:27,2013-08-15 09:34:27,982
设备76,2013-08-28 15:34:27,2013-09-20 18:34:27,556
设备76,2013-09-20 20:34:27,2013-10-09 07:34:27,444
设备76,2014-02-10 10:34:27,2014-02-25 08:34:27,359
设备77,2013-01-19 08:34:27,2013-02-05 17:34:27,418
设备77,2013-02-05 19:34:27,2013-04-06 14:34:27,1436
设备77,2013-04-18 20:34:27,2013-05-13 09:34:27,590
设备77,2013-05-13 12:34:27,2013-06-01 18:34:27,463
设备77,2013-06-19 13:34:27,2013-08-26 17:34:27,1637
设备77,2013-08-29 13:34:27,2013-09-27 10:34:27,694
设备77,2013-09-27 12:34:27,2013-10-19 15:34:27,532
设备77,2013-10-19 17:34:27,2013-11-19 19:34:27,747
设备77,2013-11-29 22:34:27,2014-01-10 15:34:27,1002
设备77,2014-01-14 13:34:27,2014-03-11 11:34:27,1343
设备78,2013-01-29 19:34:27,2013-02-25 10:34:27,640
