device,fold,seq_len,train_windows,train_positive,val_windows,val_positive,test_windows,test_positive,status
设备16,5,6,1581,32,196,6,183,3,ready
设备16,5,12,1551,32,190,6,165,3,ready
设备16,5,24,1491,28,178,6,129,3,ready
设备16,6,3,1592,19,196,16,199,6,ready
设备16,6,6,1574,19,190,16,196,6,ready
设备16,6,12,1538,19,178,16,190,6,ready
设备16,6,24,1466,19,154,12,178,6,ready
设备16,7,3,1592,24,199,1,196,16,ready
设备16,7,6,1574,24,196,1,190,16,ready
设备16,7,12,1538,24,190,1,178,16,ready
设备16,7,24,1466,24,178,1,154,12,ready
设备16,8,3,1593,40,198,0,199,1,ready
设备16,8,6,1575,40,195,0,196,1,ready
设备16,8,12,1539,40,189,0,190,1,ready
设备16,8,24,1467,40,177,0,178,1,ready
设备16,9,3,1593,41,199,0,198,0,ready
设备16,9,6,1575,41,196,0,195,0,ready
设备16,9,12,1539,41,190,0,189,0,ready
设备16,9,24,1467,40,178,0,177,0,ready
设备17,0,3,6119,211,764,24,764,13,ready
设备17,0,6,6104,210,761,24,761,13,ready
设备17,0,12,6074,210,755,24,755,13,ready
设备17,0,24,6014,209,743,23,743,13,ready
设备17,1,3,6116,200,764,24,764,24,ready
设备17,1,6,6098,199,761,24,761,24,ready
设备17,1,12,6062,198,755,24,755,24,ready
设备17,1,24,5990,196,743,24,743,23,ready
设备17,2,3,6116,177,764,47,764,24,ready
设备17,2,6,6098,176,761,47,761,24,ready
设备17,2,12,6062,176,755,46,755,24,ready
设备17,2,24,5990,175,743,45,743,24,ready
设备17,3,3,6123,194,757,7,764,47,ready
设备17,3,6,6111,193,748,7,761,47,ready
设备17,3,12,6087,193,730,7,755,46,ready
设备17,3,24,6039,193,694,6,743,45,ready
设备17,4,3,6126,217,761,24,757,7,ready
设备17,4,6,6117,216,755,24,748,7,ready
设备17,4,12,6099,216,743,24,730,7,ready
设备17,4,24,6063,216,719,24,694,6,ready
设备17,5,3,6119,191,764,33,761,24,ready
设备17,5,6,6104,190,761,33,755,24,ready
设备17,5,12,6074,185,755,33,743,24,ready
设备17,5,24,6014,184,743,33,719,24,ready
设备17,6,3,6116,182,764,33,764,33,ready
设备17,6,6,6098,181,761,33,761,33,ready
设备17,6,12,6062,179,755,28,755,33,ready
设备17,6,24,5990,176,743,28,743,33,ready
