Device_Name,Category,File_Path,Root_Path,Data_Path,Sparsity,Mean_Intensity,CV,Cluster,Label,Model,Window_Count,Level4_Positive_Windows,Level4_Total_Count,Input_SHA256
设备46,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备46/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备46,window_60_data2.csv,0.9961779694237554,0.00382203057624461,16.14438062116431,0,Sparse,PatchTST,10204,39,39.0,47bfa3861c3f80a7db08fdf141db7ac4d7eaf3c4ea58a39b804f61ad1f2e9c14
设备47,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备47/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备47,window_60_data2.csv,0.9977459819678557,0.0022540180321442573,21.03930069924006,0,Sparse,PatchTST,10204,23,23.0,3b7494259495d5a4303288a0175057ac795d968b69ab2564c9160da753579a31
设备48,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备48/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备48,window_60_data2.csv,0.9977459819678557,0.0022540180321442573,21.03930069924006,0,Sparse,PatchTST,10204,23,23.0,24474f149e0d5d714500f38ce16bfafbda63b75b321bd796f892c31eb25819a2
设备49,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备49/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备49,window_60_data2.csv,0.9844178753430027,0.020188161505292044,9.481162893167053,2,Intermittent,iTransformer,10204,159,206.0,105dfcb45359d2900fe26beb5dc9657fabfcc23bb5db0b1c7dab1f854963d02b
设备50,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备50/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备50,window_60_data2.csv,0.9878479027832223,0.014994119952959623,10.071577317231377,2,Intermittent,iTransformer,10204,124,153.0,0f6cff9f71aeca8b7750a0f56144b48e790fc40c220b1bc33765abe086458254
设备51,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备51/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备51,window_60_data2.csv,0.9878479027832223,0.014994119952959623,10.11476500472743,2,Intermittent,iTransformer,10204,124,153.0,0894e4a114336146ffc0cf1968fe171f963ad04efcd3329a1d0ec501f6a409a4
设备52,NE20E-8,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/NE20E-8/设备52/window_60_data.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/NE20E-8/设备52,window_60_data.csv,0.9738337906703254,0.04645237161897295,8.894645872899842,2,Intermittent,iTransformer,10204,267,474.0,8ddaa6607aec21d2e3842ce4c859d1f569da2b5f2e90918e0c0683b2aad0e3f7
设备53,NE20E-8,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/NE20E-8/设备53/window_60_data.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/NE20E-8/设备53,window_60_data.csv,0.980203841630733,0.024108192865542926,7.682935432524111,2,Intermittent,iTransformer,10204,202,246.0,110ccb10f0bc43681868ec7397558e37cfe8afcc1fa4545cd02dda634fbdd063
设备54,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备54/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备54,window_60_data2.csv,0.9808898471187769,0.020188161505292044,7.36918786411398,2,Intermittent,iTransformer,10204,195,206.0,621082356fed523a97625fcb9bbf3e0081636e275491d18f8139bc6279b5e940
设备55,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备55/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备55,window_60_data2.csv,0.9807918463347707,0.02048216385731086,7.404798972558046,2,Intermittent,iTransformer,10204,196,209.0,e4bd00ef50ce7410d7b0147255326915109e5d3b39dffb2a3cf13ef0ab06c741
设备56,S9300_S9303,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备56/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9303/设备56,window_60_data2.csv,0.9992159937279498,0.0007840062720501764,35.700140055747674,0,Sparse,PatchTST,10204,8,8.0,a8d84f0007f0b9f81aa1f0fb05e97cf3d7575ff1f1a310e574ee421d1d6dd49c
设备57,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备57/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备57,window_60_data2.csv,0.9889259114072912,0.011270090160721285,9.529780206019826,2,Intermittent,iTransformer,10204,113,115.0,0ef88987820a3889354ef98acbb1b4e7d79118f4a64b1db0d407be74a8d807bf
设备58,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备58/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备58,window_60_data2.csv,0.9995099960799686,0.0004900039200313603,45.164145071062734,0,Sparse,PatchTST,10204,5,5.0,6c18007083c8accd84648b31cc6591583afbfb820660c91c3eaf29cefcd609b5
设备60,S9300_S9306,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备60/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备60,window_60_data2.csv,0.9993139945119561,0.0006860054880439044,38.16692659508079,0,Sparse,PatchTST,10204,7,7.0,e8b7621359e7e8372901f044d35d4442d8468d095dbe5fdcf7e78757fa6e4d52
设备61,S9300_S9306,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备61/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S9300_S9306/设备61,window_60_data2.csv,0.9993139945119561,0.0006860054880439044,38.16692659508079,0,Sparse,PatchTST,10204,7,7.0,62e200c2e723b86d3b8b720932515b2b7a984a7fee98b7f8f7f0d88a397b7395
设备63,S5300_S5328C-EI,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备63/window_60_data2.csv,/Users/leopold/Developer/fault-forecast/Time-Series-Library/dataset/fault/S5300_S5328C-EI/设备63,window_60_data2.csv,0.9960799686397491,0.004018032144257154,16.125087330117818,0,Sparse,PatchTST,10204,40,41.0,7264623fbd041cebc9a366ff137677cbe52c9a4fdda3b5586ea99917428d299e
