Device,Seq_Len,MSE,MAE,Model
设备73,6,0.023703304949358336,0.033724203329606385,XGBoost
设备73,12,0.027642105057642054,0.03464427438544958,XGBoost
设备73,24,0.028904273904647462,0.03436232270574113,XGBoost
设备46,3,0.0029575582023538983,0.005455955712645808,XGBoost
设备46,6,0.0029192648901030325,0.0051820913408472035,XGBoost
设备46,12,0.002949152616609132,0.00524985437398359,XGBoost
设备46,24,0.0034164980306274776,0.005968274659461622,XGBoost
设备36,3,0.0024748949598395386,0.004663658016240375,XGBoost
设备36,6,0.002475243033135064,0.004668670019429342,XGBoost
设备36,12,0.002914982487577473,0.005102831360750638,XGBoost
设备36,24,0.0028205951289660526,0.0052660643939026735,XGBoost
设备42,3,0.004371322213734932,0.008993722187899992,XGBoost
设备42,6,0.004918914224472818,0.009189339464658178,XGBoost
设备42,12,0.004907492705869439,0.008927205563447511,XGBoost
设备42,24,0.005016285156447357,0.008668712532300546,XGBoost
设备4,3,0.0035306420093638687,0.006567720031080104,XGBoost
设备4,6,0.003528196445309845,0.006456616389629084,XGBoost
设备4,12,0.0036053909859807185,0.006513956828589143,XGBoost
设备4,24,0.0036101046223604998,0.006476827282005691,XGBoost
设备81,3,3.134074118162048e-06,0.001770331640727818,XGBoost
设备81,6,2.4898908263535025e-06,0.0015779387904331088,XGBoost
设备81,12,8.813999561457786e-07,0.0009388290345668793,XGBoost
设备81,24,4.4213620751893057e-07,0.0006649332353845239,XGBoost
设备32,3,0.0019562209891887494,0.0034956836294736905,XGBoost
设备32,6,0.00195726962346965,0.00342781349552074,XGBoost
设备32,12,0.0019798421658689617,0.0034598358255359305,XGBoost
设备32,24,0.002060377285982131,0.003413959274691491,XGBoost
设备39,3,0.07304606775857421,0.0247243738462642,XGBoost
设备39,6,0.07260938963599549,0.02629582591071798,XGBoost
设备39,12,0.09642135327761463,0.031004620970388058,XGBoost
设备39,24,0.1267983822615029,0.03909986353276228,XGBoost
设备5,3,0.002469207778189387,0.00456659944939287,XGBoost
设备5,6,0.002417754367865896,0.004451151251993781,XGBoost
设备5,12,0.0025186042785114867,0.004400767921961117,XGBoost
设备5,24,0.002537860226527833,0.004163914133221906,XGBoost
设备51,3,0.0073215235984743585,0.02037446361969625,XGBoost
设备51,6,0.007243511037929137,0.019397218931037203,XGBoost
设备51,12,0.007284352889348609,0.01890959267039994,XGBoost
设备51,24,0.007355446340756002,0.01784612651509992,XGBoost
设备15,3,1.2448205136800884e-06,0.001115715247578919,XGBoost
设备15,6,1.2672061591181106e-06,0.0011257025180384517,XGBoost
设备15,12,1.3014269289085057e-06,0.001140801003202796,XGBoost
设备15,24,1.0597926698029828e-06,0.0010294623207300901,XGBoost
设备69,3,0.0004927229639085505,0.0012766870072600648,XGBoost
设备69,6,0.0005020434709664189,0.0011522456867204907,XGBoost
设备69,12,0.0005362592203287198,0.0012272756666690933,XGBoost
设备69,24,0.0006031470734909434,0.0011067104935318997,XGBoost
设备6,3,0.0025031171081135108,0.004295306103208204,XGBoost
设备6,6,0.0024808198265535803,0.0041935478762823945,XGBoost
设备6,12,0.002513491041363928,0.003980702237279052,XGBoost
设备6,24,0.0024940091149804433,0.0037473936660479654,XGBoost
设备12,3,0.0022154214146639637,0.0072201346563990285,XGBoost
设备12,6,0.0021077014234706514,0.007142215252365442,XGBoost
设备12,12,0.0023542737408092413,0.006953483970302316,XGBoost
设备12,24,0.0022006815601400376,0.006550007173151129,XGBoost
设备13,3,0.001968427338036888,0.007193405951187562,XGBoost
设备13,6,0.0019705228488164587,0.007300622742075254,XGBoost
设备13,12,0.0019701665462560527,0.0069734398846557,XGBoost
设备13,24,0.001971178248460776,0.006718181216383027,XGBoost
设备50,3,0.008371807694319357,0.021621255448662086,XGBoost
设备50,6,0.008247618635252607,0.020354704855594274,XGBoost
设备50,12,0.00828640251540137,0.01938557127548191,XGBoost
