device,seq_len,split,rows,target_start,target_end,windows,gap_rejected,positive,negative
设备41,24,val,626,438,501,63,0,0,63
设备41,24,test,626,501,626,125,0,2,123
设备42,3,train,9271,0,6489,6483,3,1711,4772
设备42,3,val,9271,6489,7417,928,0,163,765
设备42,3,test,9271,7417,9271,1854,0,130,1724
设备42,6,train,9271,0,6489,6477,6,1708,4769
设备42,6,val,9271,6489,7417,928,0,163,765
设备42,6,test,9271,7417,9271,1854,0,130,1724
设备42,12,train,9271,0,6489,6465,12,1702,4763
设备42,12,val,9271,6489,7417,928,0,163,765
设备42,12,test,9271,7417,9271,1854,0,130,1724
设备42,24,train,9271,0,6489,6441,24,1690,4751
设备42,24,val,9271,6489,7417,928,0,163,765
设备42,24,test,9271,7417,9271,1854,0,130,1724
设备43,3,train,4754,0,3327,3315,9,189,3126
设备43,3,val,4754,3327,3804,477,0,11,466
设备43,3,test,4754,3804,4754,944,6,23,921
设备43,6,train,4754,0,3327,3303,18,185,3118
设备43,6,val,4754,3327,3804,477,0,11,466
设备43,6,test,4754,3804,4754,938,12,21,917
设备43,12,train,4754,0,3327,3279,36,179,3100
设备43,12,val,4754,3327,3804,477,0,11,466
设备43,12,test,4754,3804,4754,926,24,20,906
设备43,24,train,4754,0,3327,3231,72,167,3064
设备43,24,val,4754,3327,3804,477,0,11,466
设备43,24,test,4754,3804,4754,902,48,20,882
设备44,3,train,8341,0,5838,5829,6,192,5637
设备44,3,val,8341,5838,6673,835,0,33,802
设备44,3,test,8341,6673,8341,1668,0,34,1634
设备44,6,train,8341,0,5838,5820,12,192,5628
设备44,6,val,8341,5838,6673,835,0,33,802
设备44,6,test,8341,6673,8341,1668,0,34,1634
设备44,12,train,8341,0,5838,5802,24,192,5610
设备44,12,val,8341,5838,6673,835,0,33,802
设备44,12,test,8341,6673,8341,1668,0,34,1634
设备44,24,train,8341,0,5838,5766,48,192,5574
设备44,24,val,8341,5838,6673,835,0,33,802
设备44,24,test,8341,6673,8341,1668,0,34,1634
设备45,3,train,8343,0,5840,5831,6,148,5683
设备45,3,val,8343,5840,6675,835,0,26,809
设备45,3,test,8343,6675,8343,1668,0,31,1637
设备45,6,train,8343,0,5840,5822,12,148,5674
设备45,6,val,8343,5840,6675,835,0,26,809
设备45,6,test,8343,6675,8343,1668,0,31,1637
设备45,12,train,8343,0,5840,5804,24,148,5656
设备45,12,val,8343,5840,6675,835,0,26,809
设备45,12,test,8343,6675,8343,1668,0,31,1637
设备45,24,train,8343,0,5840,5768,48,148,5620
设备45,24,val,8343,5840,6675,835,0,26,809
设备45,24,test,8343,6675,8343,1668,0,31,1637
设备46,3,train,5932,0,4152,4135,14,1120,3015
设备46,3,val,5932,4152,4746,594,0,252,342
设备46,3,test,5932,4746,5932,1183,3,460,723
设备46,6,train,5932,0,4152,4120,26,1120,3000
设备46,6,val,5932,4152,4746,594,0,252,342
设备46,6,test,5932,4746,5932,1180,6,460,720
设备46,12,train,5932,0,4152,4090,50,1120,2970
设备46,12,val,5932,4152,4746,594,0,252,342
设备46,12,test,5932,4746,5932,1174,12,460,714
设备46,24,train,5932,0,4152,4036,92,1118,2918
设备46,24,val,5932,4152,4746,594,0,252,342
设备46,24,test,5932,4746,5932,1162,24,458,704
设备47,3,train,9278,0,6494,6488,3,776,5712
设备47,3,val,9278,6494,7423,929,0,183,746
设备47,3,test,9278,7423,9278,1855,0,79,1776
设备47,6,train,9278,0,6494,6482,6,774,5708
设备47,6,val,9278,6494,7423,929,0,183,746
设备47,6,test,9278,7423,9278,1855,0,79,1776
设备47,12,train,9278,0,6494,6470,12,774,5696
设备47,12,val,9278,6494,7423,929,0,183,746
设备47,12,test,9278,7423,9278,1855,0,79,1776
设备47,24,train,9278,0,6494,6446,24,774,5672
设备47,24,val,9278,6494,7423,929,0,183,746
设备47,24,test,9278,7423,9278,1855,0,79,1776
设备48,3,train,2416,0,1691,1668,20,18,1650
设备48,3,val,2416,1691,1933,242,0,1,241
设备48,3,test,2416,1933,2416,480,3,3,477
设备48,6,train,2416,0,1691,1647,38,18,1629
设备48,6,val,2416,1691,1933,242,0,1,241
设备48,6,test,2416,1933,2416,477,6,3,474
设备48,12,train,2416,0,1691,1605,74,18,1587
设备48,12,val,2416,1691,1933,242,0,1,241
设备48,12,test,2416,1933,2416,471,12,3,468
设备48,24,train,2416,0,1691,1527,140,17,1510
设备48,24,val,2416,1691,1933,242,0,1,241
设备48,24,test,2416,1933,2416,459,24,3,456
设备49,3,train,7820,0,5474,5465,6,121,5344
设备49,3,val,7820,5474,6256,782,0,22,760
设备49,3,test,7820,6256,7820,1561,3,28,1533
设备49,6,train,7820,0,5474,5456,12,120,5336
设备49,6,val,7820,5474,6256,782,0,22,760
设备49,6,test,7820,6256,7820,1558,6,28,1530
设备49,12,train,7820,0,5474,5438,24,120,5318
设备49,12,val,7820,5474,6256,782,0,22,760
设备49,12,test,7820,6256,7820,1552,12,28,1524
设备49,24,train,7820,0,5474,5402,48,118,5284
设备49,24,val,7820,5474,6256,782,0,22,760
设备49,24,test,7820,6256,7820,1540,24,28,1512
设备4,3,train,4125,0,2887,2867,17,37,2830
设备4,3,val,4125,2887,3300,410,3,2,408
设备4,3,test,4125,3300,4125,822,3,9,813
设备4,6,train,4125,0,2887,2851,30,35,2816
设备4,6,val,4125,2887,3300,407,6,1,406
设备4,6,test,4125,3300,4125,819,6,9,810
设备4,12,train,4125,0,2887,2821,54,34,2787
设备4,12,val,4125,2887,3300,401,12,1,400
设备4,12,test,4125,3300,4125,813,12,9,804
设备4,24,train,4125,0,2887,2761,102,34,2727
设备4,24,val,4125,2887,3300,389,24,1,388
设备4,24,test,4125,3300,4125,801,24,9,792
